model_id,source_name,finish_source,brochure_availability_text,price_state,price_pln,price_scope,identity_state,current_document_state,unresolved_reason
sandero,Żółty Amber,metalizowany,niedostępny w essential,unresolved,,,source_label_preserved,current_2026-07-03_combined_price_list_registered_colour_table_not_normalized,"Named July price and powertrain compatibility mapping has not been extracted; selected saved states use 'Biel alpejska', not the brochure label 'Biały Glacier'."
sandero_stepway,Biały Glacier,niemetalizowany,,unresolved,,,source_label_preserved,current_2026-07-03_combined_price_list_registered_colour_table_not_normalized,"Named July price and powertrain compatibility mapping has not been extracted; selected saved states use 'Biel alpejska', not the brochure label 'Biały Glacier'."
sandero_stepway,Szary Schist,metalizowany,niedostępny w essential,unresolved,,,source_label_preserved,current_2026-07-03_combined_price_list_registered_colour_table_not_normalized,"Named July price and powertrain compatibility mapping has not been extracted; selected saved states use 'Biel alpejska', not the brochure label 'Biały Glacier'."
sandero_stepway,Beżowy Safari,metalizowany,niedostępny w essential,unresolved,,,source_label_preserved,current_2026-07-03_combined_price_list_registered_colour_table_not_normalized,"Named July price and powertrain compatibility mapping has not been extracted; selected saved states use 'Biel alpejska', not the brochure label 'Biały Glacier'."
sandero_stepway,Czarny Pearl,metalizowany,,unresolved,,,source_label_preserved,current_2026-07-03_combined_price_list_registered_colour_table_not_normalized,"Named July price and powertrain compatibility mapping has not been extracted; selected saved states use 'Biel alpejska', not the brochure label 'Biały Glacier'."
sandero_stepway,Niebieski Iron,metalizowany,,unresolved,,,source_label_preserved,current_2026-07-03_combined_price_list_registered_colour_table_not_normalized,"Named July price and powertrain compatibility mapping has not been extracted; selected saved states use 'Biel alpejska', not the brochure label 'Biały Glacier'."
sandero_stepway,Zielony Cedar,metalizowany,niedostępny w essential,unresolved,,,source_label_preserved,current_2026-07-03_combined_price_list_registered_colour_table_not_normalized,"Named July price and powertrain compatibility mapping has not been extracted; selected saved states use 'Biel alpejska', not the brochure label 'Biały Glacier'."
sandero_stepway,Żółty Amber,metalizowany,niedostępny w essential,unresolved,,,source_label_preserved,current_2026-07-03_combined_price_list_registered_colour_table_not_normalized,"Named July price and powertrain compatibility mapping has not been extracted; selected saved states use 'Biel alpejska', not the brochure label 'Biały Glacier'."
jogger,Brązowy Terracotta,niemetalizowany,niedostępny w essential,current_price_class_available_named_assignment_unresolved,,non-metallic/special 0 or 2700 PLN; metallic 2700 or 2900 PLN; printed for all grades,source_label_preserved,current_2026-07-03_price_classes_extracted_named_mapping_unresolved,Brochure finish footnotes are internally inconsistent and the current price list does not map the printed price pairs to colour names.
jogger,Biały Glacier,metalizowany,,current_price_class_available_named_assignment_unresolved,,non-metallic/special 0 or 2700 PLN; metallic 2700 or 2900 PLN; printed for all grades,not_equated_to_saved_state_label_biel_alpejska,current_2026-07-03_price_classes_extracted_named_mapping_unresolved,Brochure finish footnotes are internally inconsistent and the current price list does not map the printed price pairs to colour names.
jogger,Szary Schist,niemetalizowany,,current_price_class_available_named_assignment_unresolved,,non-metallic/special 0 or 2700 PLN; metallic 2700 or 2900 PLN; printed for all grades,source_label_preserved,current_2026-07-03_price_classes_extracted_named_mapping_unresolved,Brochure finish footnotes are internally inconsistent and the current price list does not map the printed price pairs to colour names.
jogger,Zielony Cedar,niemetalizowany,niedostępny w essential,current_price_class_available_named_assignment_unresolved,,non-metallic/special 0 or 2700 PLN; metallic 2700 or 2900 PLN; printed for all grades,source_label_preserved,current_2026-07-03_price_classes_extracted_named_mapping_unresolved,Brochure finish footnotes are internally inconsistent and the current price list does not map the printed price pairs to colour names.
jogger,Czarna Perła,niemetalizowany,,current_price_class_available_named_assignment_unresolved,,non-metallic/special 0 or 2700 PLN; metallic 2700 or 2900 PLN; printed for all grades,source_label_preserved,current_2026-07-03_price_classes_extracted_named_mapping_unresolved,Brochure finish footnotes are internally inconsistent and the current price list does not map the printed price pairs to colour names.
jogger,Szary Urban,metalizowany,niedostępny w essential,current_price_class_available_named_assignment_unresolved,,non-metallic/special 0 or 2700 PLN; metallic 2700 or 2900 PLN; printed for all grades,source_label_preserved,current_2026-07-03_price_classes_extracted_named_mapping_unresolved,Brochure finish footnotes are internally inconsistent and the current price list does not map the printed price pairs to colour names.
jogger,Piaskowy Sandstone,metalizowany,,current_price_class_available_named_assignment_unresolved,,non-metallic/special 0 or 2700 PLN; metallic 2700 or 2900 PLN; printed for all grades,source_label_preserved,current_2026-07-03_price_classes_extracted_named_mapping_unresolved,Brochure finish footnotes are internally inconsistent and the current price list does not map the printed price pairs to colour names.
duster,Sandstone,metalizowany,,prior_price_class_available_named_assignment_unresolved,,2026-02-06 metallic price pair 2700 / 2900 PLN,source_label_preserved,current_2026-07-03_raw_price_list_registered_not_colour_reextracted,Named assignment and current July powertrain compatibility are unresolved.
duster,Brązowy Terracotta,metalizowany,,prior_price_class_available_named_assignment_unresolved,,2026-02-06 metallic price pair 2700 / 2900 PLN,source_label_preserved,current_2026-07-03_raw_price_list_registered_not_colour_reextracted,Named assignment and current July powertrain compatibility are unresolved.
duster,Szary Schiste,metalizowany,jeden z kolorów dostępnych dla Essential,prior_price_class_available_named_assignment_unresolved,,2026-02-06 metallic price pair 2700 / 2900 PLN,source_label_preserved,current_2026-07-03_raw_price_list_registered_not_colour_reextracted,Named assignment and current July powertrain compatibility are unresolved.
duster,Czarna Perła,metalizowany,,prior_price_class_available_named_assignment_unresolved,,2026-02-06 metallic price pair 2700 / 2900 PLN,source_label_preserved,current_2026-07-03_raw_price_list_registered_not_colour_reextracted,Named assignment and current July powertrain compatibility are unresolved.
duster,Zielony Cèdre,metalizowany,,prior_price_class_available_named_assignment_unresolved,,2026-02-06 metallic price pair 2700 / 2900 PLN,source_label_preserved,current_2026-07-03_raw_price_list_registered_not_colour_reextracted,Named assignment and current July powertrain compatibility are unresolved.
duster,Lichen Khaki,niemetalizowany,jeden z kolorów dostępnych dla Essential,lexical_variant_candidate_to_prior_named_row,,Prior source label 'Khaki Lichen' at 2700 PLN,not_normalized_due_word_order_difference,current_2026-07-03_raw_price_list_registered_not_colour_reextracted,Current July identity and all-powertrain compatibility are unresolved.
duster,Biel Alpejska,niemetalizowany,jeden z kolorów dostępnych dla Essential,prior_price_list_named_row_and_exact_selected_states,0,2026-02-06 price list; four exact Eco-G 120 manual saved states,source_label_preserved,current_2026-07-03_raw_price_list_registered_not_colour_reextracted,Current July mapping across remaining powertrains and automatic variants is not re-extracted.
bigster,Brązowy Terracotta,metalizowany,dostępny także w wersji dwukolorowej,current_finish_class_price,3000,all printed grades; exact grade/powertrain choice-list compatibility remains unresolved; two-tone surcharge 1400 PLN on Extreme and Journey,source_label_preserved,current_2026-07-03_price_list_registered_and_document_text_reviewed,Powertrain-specific choice-list availability is not proven.
bigster,Biel Alpejska,niemetalizowany,dostępny także w wersji dwukolorowej,exact_selected_states_only,0,four exact saved states,source_label_preserved,current_2026-07-03_price_list_registered_and_document_text_reviewed,The zero-price observation is not generalized to all Bigster powertrains; two-tone compatibility remains grade-bounded.
bigster,Czarna Perła,metalizowany,,current_finish_class_price,3000,all printed grades; exact grade/powertrain choice-list compatibility remains unresolved,source_label_preserved,current_2026-07-03_price_list_registered_and_document_text_reviewed,Current price list excludes black from the two-tone option; powertrain-specific single-tone availability still needs exact choice-list capture.
bigster,Szary Shiste,metalizowany,dostępny także w wersji dwukolorowej,current_finish_class_price,3000,all printed grades; exact grade/powertrain choice-list compatibility remains unresolved; two-tone surcharge 1400 PLN on Extreme and Journey,source_label_preserved,current_2026-07-03_price_list_registered_and_document_text_reviewed,Powertrain-specific choice-list availability is not proven.
bigster,Niebieski Indigo,metalizowany,dostępny także w wersji dwukolorowej,current_finish_class_price,3000,all printed grades; exact grade/powertrain choice-list compatibility remains unresolved; two-tone surcharge 1400 PLN on Extreme and Journey,source_label_preserved,current_2026-07-03_price_list_registered_and_document_text_reviewed,Powertrain-specific choice-list availability is not proven.
bigster,Zielony Cedar,metalizowany,dostępny także w wersji dwukolorowej,current_finish_class_price,3000,all printed grades; exact grade/powertrain choice-list compatibility remains unresolved; two-tone surcharge 1400 PLN on Extreme and Journey,source_label_preserved,current_2026-07-03_price_list_registered_and_document_text_reviewed,Powertrain-specific choice-list availability is not proven.
